ItemNo,Product Code,Product Name, Retail ,Barcode,Type,Alc.,Unit,Size,Type,Size,Type,Type(Eng),Occasion,Occasion_List,,,
67,THW01-MANEE,Manee Flowery Rice Wine, 199.00 ,885 92732 0071 4,Flower-Rice Wine,8.0%,Bottle,700,ml,700 มิล.,ไวน์ข้าว,RiceWine,001001,Casual ,,,
68,THW01-MANA,Come'on Rice Wine, 199.00 ,885 92732 0072 1,Coconut-Rice Wine,7.0%,Bottle,700,ml,700 มิล.,ไวน์ข้าว,RiceWine,001001,Casual ,,,
69,ALPA,Alpagold, 190.00 ,,Lager,4.8%,Bottle,330,ml,300 มิล.,เบียร์,Beer,011101,Birthday Casual Celebration ,,,
70,CL-01,Coffee Stout, 190.00 ,,Stout,5.5%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001101,Casual Celebration ,,,
71,CL-02,Alpen Pale Ale, 190.00 ,,Ale,5.4%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001111,Casual Celebration Dinner ,,,
72,CL-03,Bock Stark, 190.00 ,,Bock,6.8%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001111,Casual Celebration Dinner ,,,
73,CL-04,Hoppla! Hoppy Lager, 190.00 ,,Lager,4.9%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001101,Casual Celebration ,,,
74,CL-05,Wiesn Rausch, 190.00 ,,Malt beer,5.8%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001111,Casual Celebration Dinner ,,,
75,CL-06,Summer Ale, 190.00 ,,Ale,4.0%,Bottle,330,ml,300 มิล.,เบียร์,Beer,001101,Casual Celebration ,,,
76,LIME,Lime, 190.00 ,,Lager,2.5%,Bottle,330,ml,300 มิล.,เบียร์,Beer,011101,Birthday Casual Celebration ,,,
,,,,,,,,,,,,,,,,,
